review_id,raw_text,true_sentiment,detected_problems,clean_text,hf_sentiment,hf_entities,hf_time_sec,hf_correct,llm_sentiment,llm_entities,llm_time_sec,llm_correct,category,hf_ent_count,llm_ent_count
r01,отличный iphone 14 PRO!!!  купил в магазине  apple на тверской 😊. Камера супер,POSITIVE,"['эмодзи/спецсимволы', 'повторяющиеся знаки препинания', 'лишние пробелы', 'смешанные раскладки (ru/eng)']",отличный iphone 14 PRO! купил в магазине apple на тверской. Камера супер,POSITIVE,"[{'text': 'iphone 14 PRO!', 'type': 'MISC', 'score': 0.6987367272377014}]",0.0192,True,POSITIVE,"[{'text': 'iphone 14 PRO', 'type': 'PRODUCT'}, {'text': 'apple', 'type': 'ORGANIZATION'}, {'text': 'тверской', 'type': 'LOCATION'}]",3.323,True,Простые случаи,1,3
r02,УЖАСНОЕ обслуживание в сбербанке на красной площади.. менеджер иван петров вобще не помог(,NEGATIVE,"['повторяющиеся знаки препинания', 'капс/ВСЕ_ЗАГЛАВНЫЕ', 'сленг/опечатки']",УЖАСНОЕ обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог(,NEGATIVE,"[{'text': 'УЖАСНО', 'type': 'ORG', 'score': 0.707390308380127}]",0.0215,True,NEGATIVE,"[{'text': 'сбербанк', 'type': 'ORGANIZATION'}, {'text': 'красной площади', 'type': 'LOCATION'}, {'text': 'иван петров', 'type': 'PERSON'}]",3.872,True,Простые случаи,1,3
r03,Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно 👏,NEGATIVE,['эмодзи/спецсимволы'],Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно,NEGATIVE,"[{'text': 'МТС', 'type': 'ORG', 'score': 0.9568455219268799}]",0.021,True,NEGATIVE,"[{'text': 'МТС', 'type': 'ORGANIZATION'}]",1.1789999999999998,True,Сарказм,1,1
r04,"Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился",NEGATIVE,['чисто'],"Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился",NEGATIVE,"[{'text': 'Пятерочке', 'type': 'LOC', 'score': 0.74413001537323}]",0.0198,True,NEGATIVE,"[{'text': 'Пятерочке', 'type': 'ORGANIZATION'}]",3.273,True,Сарказм,1,1
r05,"iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store",NEUTRAL,['смешанные раскладки (ru/eng)'],"iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store",POSITIVE,"[{'text': 'iPhone 13', 'type': 'MISC', 'score': 0.8347669839859009}, {'text': 're : Store', 'type': 'MISC', 'score': 0.7155070304870605}]",0.0189,False,NEUTRAL,"[{'text': 'iPhone 13', 'type': 'PRODUCT'}, {'text': 're:Store', 'type': 'ORGANIZATION'}]",3.326,True,Смешанные эмоции,2,2
r06,"Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен",NEUTRAL,['чисто'],"Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен",NEUTRAL,"[{'text': 'Белуга', 'type': 'LOC', 'score': 0.8126614689826965}, {'text': 'Максим', 'type': 'PER', 'score': 0.9841285943984985}]",0.0179,True,NEUTRAL,"[{'text': 'Белуга', 'type': 'ORGANIZATION'}, {'text': 'Максим', 'type': 'PERSON'}]",3.45,True,Смешанные эмоции,2,2
r07,"Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой",POSITIVE,"['смешанные раскладки (ru/eng)', 'имена/бренды латиницей']","Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой",POSITIVE,"[{'text': 'Tesla Model Y', 'type': 'MISC', 'score': 0.960928738117218}, {'text': 'Рольф Премиум', 'type': 'PER', 'score': 0.5974858403205872}]",0.0186,True,POSITIVE,"[{'text': 'Tesla Model Y', 'type': 'PRODUCT'}, {'text': 'Рольф Премиум', 'type': 'ORGANIZATION'}]",3.4090000000000003,True,Сложная структура,2,2
r08,"Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги",NEUTRAL,['чисто'],"Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги",POSITIVE,"[{'text': 'Ритц', 'type': 'LOC', 'score': 0.9258055686950684}, {'text': 'Карлтон', 'type': 'LOC', 'score': 0.7276285886764526}]",0.0181,False,NEUTRAL,"[{'text': 'Ритц-Карлтон', 'type': 'ORGANIZATION'}]",1.113,True,Сложная структура,2,1
r09,"Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый",NEUTRAL,['чисто'],"Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый",POSITIVE,"[{'text': 'Яндекс', 'type': 'ORG', 'score': 0.7673888206481934}, {'text': 'Дача', 'type': 'LOC', 'score': 0.587073564529419}, {'text': 'Рублевке', 'type': 'LOC', 'score': 0.9745843410491943}, {'text': 'Андрей', 'type': 'PER', 'score': 0.7810038328170776}]",0.0212,False,UNKNOWN,"[{'text': 'Яндекс.Еда', 'type': 'ORGANIZATION'}, {'text': 'Дача', 'type': 'ORGANIZATION'}, {'text': 'Рублевке', 'type': 'LOCATION'}, {'text': 'Андрей', 'type': 'PERSON'}]",3.582,False,Простые случаи,4,4
r10,"MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены",POSITIVE,"['смешанные раскладки (ru/eng)', 'имена/бренды латиницей']","MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены",NEUTRAL,"[{'text': 'MacBook Pro', 'type': 'MISC', 'score': 0.8943132162094116}, {'text': 'iStore', 'type': 'ORG', 'score': 0.9483755230903625}, {'text': 'Арбате', 'type': 'LOC', 'score': 0.9423531293869019}, {'text': 'Елены', 'type': 'PER', 'score': 0.9456778764724731}]",0.0183,False,POSITIVE,"[{'text': 'MacBook Pro 16', 'type': 'PRODUCT'}, {'text': 'iStore', 'type': 'ORGANIZATION'}, {'text': 'Арбате', 'type': 'LOCATION'}, {'text': 'Елены', 'type': 'PERSON'}]",4.445,True,Простые случаи,4,4
r11,"Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был",NEUTRAL,['смешанные раскладки (ru/eng)'],"Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был",POSITIVE,"[{'text': 'Октябрь', 'type': 'LOC', 'score': 0.9286525845527649}]",0.0181,False,NEUTRAL,[],5.165,True,Сленг,1,0
r12,"Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь",NEUTRAL,['чисто'],"Обслуживание в банке ВТБ на Тверской оставляет желать лучшего, хотя менеджер Ольга старалась помочь",NEGATIVE,"[{'text': 'ВТБ', 'type': 'ORG', 'score': 0.7260628342628479}, {'text': 'Тверской', 'type': 'LOC', 'score': 0.9643049240112305}, {'text': 'Ольга', 'type': 'PER', 'score': 0.9749658107757568}]",0.0188,False,NEUTRAL,"[{'text': 'ВТБ', 'type': 'ORGANIZATION'}, {'text': 'Тверской', 'type': 'LOCATION'}, {'text': 'Ольга', 'type': 'PERSON'}]",3.326,True,Сложная структура,3,3
r13,"Купил новый Samsung Galaxy S24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил",POSITIVE,"['смешанные раскладки (ru/eng)', 'имена/бренды латиницей']","Купил новый Samsung Galaxy S 24 Ultra в DNS на Ленинском проспекте, консультант Дмитрий Иванович всё объяснил",NEUTRAL,"[{'text': 'Samsung Galaxy S 24 Ultra', 'type': 'MISC', 'score': 0.8954315185546875}, {'text': 'Ленинском проспекте', 'type': 'LOC', 'score': 0.9918639063835144}, {'text': 'Дмитрий Иванович', 'type': 'PER', 'score': 0.9998081922531128}]",0.0202,False,POSITIVE,"[{'text': 'Samsung Galaxy S 24 Ultra', 'type': 'PRODUCT'}, {'text': 'DNS', 'type': 'ORGANIZATION'}, {'text': 'Ленинском проспекте', 'type': 'LOCATION'}, {'text': 'Дмитрий Иванович', 'type': 'PERSON'}]",4.308,True,Простые случаи,3,4
r14,Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,POSITIVE,"['смешанные раскладки (ru/eng)', 'имена/бренды латиницей']",Ужинал в ресторане White Rabbit на Смоленской площади - шеф-повар Владимир Мухин превзошел ожидания,NEUTRAL,"[{'text': 'White', 'type': 'ORG', 'score': 0.5446470975875854}, {'text': 'Rabbit', 'type': 'MISC', 'score': 0.4446413516998291}, {'text': 'Смоленской площади', 'type': 'LOC', 'score': 0.9344683885574341}, {'text': 'Владимир Мухин', 'type': 'PER', 'score': 0.99986732006073}]",0.0194,False,POSITIVE,"[{'text': 'White Rabbit', 'type': 'ORGANIZATION'}, {'text': 'Смоленской площади', 'type': 'LOCATION'}, {'text': 'Владимир Мухин', 'type': 'PERSON'}]",3.49,True,Простые случаи,4,3
r15,"норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции",POSITIVE,"['смешанные раскладки (ru/eng)', 'сленг/опечатки']","норм телек LG купил в эльдорадо, продавец норм чел был, всё рассказал про функции",NEUTRAL,"[{'text': 'LG', 'type': 'ORG', 'score': 0.9849725365638733}]",0.0192,False,POSITIVE,"[{'text': 'LG', 'type': 'PRODUCT'}, {'text': 'эльдорадо', 'type': 'ORGANIZATION'}]",3.682,True,Сленг,1,2
