instruction,input,output,task_type
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.",отличный iphone 14 PRO! купил в магазине apple на тверской. Камера супер,POSITIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.",отличный iphone 14 PRO! купил в магазине apple на тверской. Камера супер,"{""entities"": [{""text"": ""iphone 14 PRO"", ""type"": ""PRODUCT""}, {""text"": ""apple"", ""type"": ""ORGANIZATION""}, {""text"": ""тверской"", ""type"": ""LOCATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.",отличный iphone 14 PRO! купил в магазине apple на тверской. Камера супер,"{""sentiment"": ""POSITIVE"", ""entities"": [{""text"": ""iphone 14 PRO"", ""type"": ""PRODUCT""}, {""text"": ""apple"", ""type"": ""ORGANIZATION""}, {""text"": ""тверской"", ""type"": ""LOCATION""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.",УЖАСНОЕ обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог(,NEGATIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.",УЖАСНОЕ обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог(,"{""entities"": [{""text"": ""сбербанк"", ""type"": ""ORGANIZATION""}, {""text"": ""красной площади"", ""type"": ""LOCATION""}, {""text"": ""иван петров"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.",УЖАСНОЕ обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог(,"{""sentiment"": ""NEGATIVE"", ""entities"": [{""text"": ""сбербанк"", ""type"": ""ORGANIZATION""}, {""text"": ""красной площади"", ""type"": ""LOCATION""}, {""text"": ""иван петров"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.",Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно,NEGATIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.",Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно,"{""entities"": [{""text"": ""МТС"", ""type"": ""ORGANIZATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.",Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно,"{""sentiment"": ""NEGATIVE"", ""entities"": [{""text"": ""МТС"", ""type"": ""ORGANIZATION""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился",NEGATIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился","{""entities"": [{""text"": ""Пятерочке"", ""type"": ""ORGANIZATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился","{""sentiment"": ""NEGATIVE"", ""entities"": [{""text"": ""Пятерочке"", ""type"": ""ORGANIZATION""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store",NEUTRAL,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store","{""entities"": [{""text"": ""iPhone 13"", ""type"": ""PRODUCT""}, {""text"": ""re:Store"", ""type"": ""ORGANIZATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store","{""sentiment"": ""NEUTRAL"", ""entities"": [{""text"": ""iPhone 13"", ""type"": ""PRODUCT""}, {""text"": ""re:Store"", ""type"": ""ORGANIZATION""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен",NEUTRAL,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен","{""entities"": [{""text"": ""Белуга"", ""type"": ""ORGANIZATION""}, {""text"": ""Максим"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен","{""sentiment"": ""NEUTRAL"", ""entities"": [{""text"": ""Белуга"", ""type"": ""ORGANIZATION""}, {""text"": ""Максим"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой",POSITIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой","{""entities"": [{""text"": ""Tesla Model Y"", ""type"": ""PRODUCT""}, {""text"": ""Рольф Премиум"", ""type"": ""ORGANIZATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой","{""sentiment"": ""POSITIVE"", ""entities"": [{""text"": ""Tesla Model Y"", ""type"": ""PRODUCT""}, {""text"": ""Рольф Премиум"", ""type"": ""ORGANIZATION""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги",NEUTRAL,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги","{""entities"": [{""text"": ""Ритц-Карлтон"", ""type"": ""ORGANIZATION""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги","{""sentiment"": ""NEUTRAL"", ""entities"": [{""text"": ""Ритц-Карлтон"", ""type"": ""ORGANIZATION""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый",NEUTRAL,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый","{""entities"": [{""text"": ""Яндекс.Еда"", ""type"": ""ORGANIZATION""}, {""text"": ""Дача"", ""type"": ""ORGANIZATION""}, {""text"": ""Рублевке"", ""type"": ""LOCATION""}, {""text"": ""Андрей"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый","{""sentiment"": ""NEUTRAL"", ""entities"": [{""text"": ""Яндекс.Еда"", ""type"": ""ORGANIZATION""}, {""text"": ""Дача"", ""type"": ""ORGANIZATION""}, {""text"": ""Рублевке"", ""type"": ""LOCATION""}, {""text"": ""Андрей"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены",POSITIVE,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены","{""entities"": [{""text"": ""MacBook Pro 16"", ""type"": ""PRODUCT""}, {""text"": ""iStore"", ""type"": ""ORGANIZATION""}, {""text"": ""Арбате"", ""type"": ""LOCATION""}, {""text"": ""Елены"", ""type"": ""PERSON""}]}",ner
"Проанализируй отзыв: определи тональность и извлеки именованные сущности. Верни JSON: {""sentiment"": ""..."", ""entities"": [...]}.","MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены","{""sentiment"": ""POSITIVE"", ""entities"": [{""text"": ""MacBook Pro 16"", ""type"": ""PRODUCT""}, {""text"": ""iStore"", ""type"": ""ORGANIZATION""}, {""text"": ""Арбате"", ""type"": ""LOCATION""}, {""text"": ""Елены"", ""type"": ""PERSON""}]}",combined
"Определи тональность отзыва. Верни один из ярлыков: POSITIVE, NEUTRAL, NEGATIVE. Сарказм считай NEGATIVE.","Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был",NEUTRAL,sentiment
"Извлеки именованные сущности из отзыва. Верни JSON: {""entities"": [{""text"": ""..."", ""type"": ""ORGANIZATION|PERSON|LOCATION|PRODUCT""}]}.","Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был","{""entities"": []}",ner
